Sample;;;;;;;13C4-PFBA Results;;;;PFBA Results;;;;13C5-PFPeA Results;;;;PFPeA Results;;;;4:2 FTS Results;;;;13C2-4:2FTS Results;;;;13C5-PFHxA Results;;;;PFHxA Results;;;;13C3-PFBS Results;;;;PFBS Results;;;;13C3-HFPO-DA Results;;;;HFPO-DA Results;;;;PFPHpA Results;;;;13C4-PFHpA Results;;;;PFPeS Results;;;;ADONA Results;;;;6:2 FTS Results;;;;13C2-6:2FTS Results;;;;13C8-PFOA Results;;;;PFOA Results;;;;PFHxS Results;;;;13C3-PFHxS Results;;;;PFNA Results;;;;13C9-PFNA Results;;;;PFHpS Results;;;;8:2 FTS Results;;;;13C2-8:2FTS Results;;;;13C6-PFDA Results;;;;PFDA Results;;;;D3-NMeFOSAA Results;;;;NMeFOSAA Results;;;;PFOS Results;;;;13C8-PFOS Results;;;;D5-NEtFOSAA Results;;;;NEtFOSAA Results;;;;PFUnA Results;;;;13C7-PFUnA Results;;;;9Cl-PF3ONS Results;;;;PFNS Results;;;;PFDoA Results;;;;13C2-PFDoA Results;;;;PFDS Results;;;;PFTrDA Results;;;;11Cl-PF3OUdS Results;;;;13C2-PFTeDA Results;;;;PFTeDA Results;;;;PFOSA Results;;;;13C8-PFOSA Results;;;;D7-NMeFOSE Results;;;;NMeFOSE Results;;;;NMeFOSA Results;;;;D3-NMeFOSA Results;;;;NEtFOSA Results;;;;D9-NEtFOSE Results;;;;NEtFOSE Results;;;;D5-NEtFOSA Results;;;
;;Name;Data File;Type;Level;Acq. Date-Time;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N;RT;Final Conc.;Accuracy;S/N
;!;Qc std;25.d;Sample;;6/23/2025 8:42 PM;3.208;9.9771;;35583.62;3.211;9.1398;;5901.42;4.296;5.175;;6887.24;4.301;5.0167;;6975.36;4.749;10.5975;;49124.48;4.744;3.8289;;7117.26;4.93;2.4724;;86956.3;4.934;2.3218;;3510.3;4.987;2.6495;;29656.03;4.991;2.2521;;8983.69;5.126;10.2542;;14906.83;5.122;2.2399;;127759.98;5.429;2.4776;;4745.94;5.423;2.5404;;28363.03;5.544;2.3978;;5565.69;5.583;2.2263;;14049.1;5.672;11.2741;;41550.78;5.669;3.8626;;10979.71;5.844;2.6858;;44362.43;5.848;2.2852;;2529;6.004;2.3937;;8451.83;5.999;2.4679;;12538.82;6.236;2.3711;;1956.8;6.24;1.2364;;24867.65;6.416;2.7484;;12825.45;6.43;22.0059;;14442.11;6.435;4.2185;;6453.69;6.617;1.2515;;44710.76;6.621;2.2098;;1634.92;6.685;4.5917;;26449.03;6.686;0.8445;;354.68;6.82;2.3797;;3933.34;6.814;2.3993;;8456.1;6.866;4.855;;13708.73;6.866;2.1446;;1922.87;6.992;4.9856;;1237.02;6.995;1.291;;8189.61;7.102;2.3473;;18051.03;7.197;2.2274;;8666.88;7.359;2.2785;;1623.17;7.364;1.2393;;1180.46;7.575;2.255;;8002.32;7.727;2.1725;;1254.99;7.852;0.5641;;13610.55;8.085;1.2783;;2812.53;8.082;2.187;;964.37;8.503;2.467;;872.06;8.5;2.3671;;9640.26;9.724;22.2382;;6412.32;9.746;66.6567;;3132.59;9.861;2.1735;;4786.3;9.855;2.2776;;14518.75;10.048;2.1269;;3023.24;10.073;21.2995;;9449.59;10.1;65.7815;;2235.96;10.204;2.2485;;10519.21
!;!;Sib 2 blank 2h;26.d;Sample;;6/23/2025 8:57 PM;3.233;9.9591;;8038.38;3.236;0.0002;;0.63;4.308;5.3188;;7010.42;4.32;0.007;;19.19;4.724;0.0041;;43.63;4.744;3.229;;21169.43;4.93;2.5957;;38022.27;4.925;0.0046;;30.41;4.987;2.6368;;42238.49;4.999;0.0002;;7.73;5.126;10.2962;;9199.87;5.146;0.0005;;96.5;5.412;0.0048;;10.43;5.423;2.4995;;14673.93;5.519;0.0001;;3.31;5.549;0;;15.91;5.681;0.0034;;9.65;5.669;3.2757;;3519.04;5.844;2.604;;55236.78;5.856;0.0012;;0.92;5.996;0.0137;;113.73;5.999;2.49;;6297.38;6.236;0.0013;;2.76;6.232;1.2787;;6625.73;6.449;0.0002;;4.61;6.864;0.0104;;4.07;6.435;1.8644;;1839.18;6.617;1.2055;;3022.26;6.612;0;;1.11;6.685;1.4736;;1020.15;6.711;0.0007;;5.19;6.82;0.0092;;455.69;6.814;2.4578;;5474.95;6.857;1.0686;;2237.97;6.784;0.0077;;2.42;6.959;0.0212;;3.06;6.995;0.4781;;3372.95;7.119;0.0002;;3.46;7.139;0.001;;10.91;7.285;0.1398;;2.94;7.347;0.105;;941.24;7.567;0.0001;;1.53;7.668;0.0145;;2.28;7.852;0;;5.24;8.077;0.0941;;53.6;8.156;0.065;;1.15;8.503;0.0073;;33.8;8.5;1.7289;;12967.85;9.724;1.309;;1653.25;9.763;0.4062;;7.59;9.92;0.0062;;5.92;9.863;0.2124;;360.23;10.098;0.0396;;1.82;10.073;0.6569;;379.83;10.109;0.6458;;9.71;10.204;0.0922;;21.48
!;!;Sib 2 blank 4h;27.d;Sample;;6/23/2025 9:12 PM;3.233;9.972;;6736.46;3.211;0.0023;;6.03;4.308;5.222;;6248.04;4.312;0.0069;;21.05;4.74;0.0042;;92.21;4.744;3.1604;;11744.3;4.93;2.5074;;39199.47;4.925;0.006;;27.01;4.987;2.6773;;16679.67;5.032;0.0002;;9.47;5.118;10.4028;;40822.57;5.114;0.0009;;339.7;5.412;0.0028;;2.94;5.423;2.4099;;32127.86;5.668;0.0006;;9.56;5.417;0;;2.94;5.656;0.0035;;33.45;5.669;3.3257;;14701.52;5.844;2.5749;;104948.5;5.823;0.0012;;0.41;5.979;0.0082;;71.98;5.999;2.5346;;19435.54;6.236;0.0005;;1.26;6.232;1.2521;;777.73;6.301;0.0023;;14.47;6.406;0.0101;;1.93;6.426;1.8916;;3947.93;6.617;1.2751;;4592.12;6.645;0.0003;;0.97;6.685;1.6536;;2844.95;6.744;0.0009;;2.82;6.812;0.0158;;83.01;6.814;2.3685;;3188.39;6.857;0.9313;;738.28;6.924;0.0118;;12.31;6.984;0.0186;;2.28;6.995;0.5045;;1187.89;7.045;0.0005;;8.89;7.377;0.0012;;2.25;7.253;0.0196;;1.97;7.355;0.1318;;476.99;7.443;0.0011;;3.76;7.817;0.0263;;2.93;7.86;0.0002;;7.02;8.085;0.0998;;344.91;8.015;0.1189;;2.69;8.478;0.0044;;19.31;8.5;1.639;;622.55;9.724;1.385;;1311.21;9.804;0.091;;11.01;9.861;0.0048;;3.83;9.863;0.1826;;251.69;9.974;0.0992;;12.05;10.073;0.6463;;406.68;10.1;0.2899;;31.16;10.195;0.0799;;121.55
!;!;Sib 2 blank 6h;28.d;Sample;;6/23/2025 9:28 PM;3.233;9.9993;;7605.36;3.211;0.0013;;1.24;4.308;5.29;;41311.9;4.312;0.0079;;19.71;4.765;0.0036;;29.88;4.744;3.2842;;2636.75;4.93;2.4828;;5486.12;4.925;0.0028;;1.91;4.987;2.6782;;14317.64;4.966;0.0001;;17.36;5.118;10.4494;;8578.6;5.13;0.0008;;25.61;5.61;0.001;;2.87;5.423;2.4907;;7993.52;5.56;0.0012;;13.71;5.549;0;;14.8;6.117;0.0161;;55.78;5.669;3.2134;;4058.76;5.844;2.6389;;84528.51;5.832;0.0026;;0.52;5.987;0.008;;179.07;5.999;2.583;;6964.09;6.261;0.002;;2.82;6.232;1.1914;;16802.71;6.408;0.0005;;6.15;6.479;0.0071;;2.69;6.435;1.7936;;1978.22;6.617;1.256;;5195.09;6.612;0.0002;;0.42;6.685;1.6742;;1820.29;6.571;0.0042;;90.05;6.787;0.0092;;36.73;6.814;2.3926;;4318.05;6.857;0.8759;;1997.22;6.866;0.0314;;15.27;6.935;0.0382;;10.98;6.995;0.5526;;2913.61;7.127;0;;2.55;7.254;0.0001;;2.28;7.384;0.0508;;1.89;7.364;0.1242;;985.75;7.716;0.0009;;3.69;7.776;0.0194;;1.44;7.777;0.0001;;4.71;8.069;0.0732;;308.14;8.164;0.0375;;4.84;8.503;0.0077;;35.59;8.5;1.7272;;685.09;9.724;1.3364;;1953.72;9.763;0.0472;;5.5;9.878;0.0021;;1.76;9.855;0.1927;;342.29;10.073;0.1278;;14.74;10.081;0.6923;;514.23;10.092;0.1744;;6.69;10.204;0.0767;;134.87
!;!;Sib 2 blank 8h;29.d;Sample;;6/23/2025 9:43 PM;3.233;9.9973;;13251.34;3.253;0.001;;1.09;4.296;5.2191;;19517.43;4.312;0.0084;;97.9;4.749;0.0017;;16.69;4.744;3.2545;;16362.25;4.93;2.4823;;5589.09;4.942;0.0067;;30.23;4.987;2.6549;;11775.67;4.999;0.0001;;9.55;5.118;10.6257;;8788.86;5.13;0.0008;;91.92;5.437;0.0012;;4.96;5.423;2.4263;;31634.48;5.503;0.0006;;6.86;5.566;0.0001;;2.24;5.689;0.0013;;4.99;5.669;3.1451;;4857.5;5.844;2.6176;;13978.16;5.823;0.0013;;0.69;6.004;0.0097;;33.82;5.999;2.5543;;12172.96;6.244;0.0017;;8.72;6.232;1.2545;;11181.41;6.441;0.0045;;18.4;6.34;0.0042;;2.14;6.426;1.953;;166.23;6.617;1.2819;;7738.9;6.604;0.0007;;0.58;6.677;1.6238;;2513.09;6.842;0.0039;;16.05;6.82;0.0074;;92.45;6.814;2.4071;;361.71;6.857;0.9485;;1360.08;6.891;0.0323;;14.66;7.001;0.0071;;2.8;6.986;0.5754;;3595.46;7.086;0.0003;;3.68;7.312;0.0005;;3.53;7.367;0.0174;;2.88;7.364;0.1343;;419.03;7.517;0.0018;;26.98;7.801;0.0397;;2.77;7.869;0.0001;;4.3;8.085;0.0592;;102.02;8.024;0.2322;;1.32;8.494;0.0079;;28.85;8.5;1.7187;;5124.51;9.724;1.469;;153.42;9.796;0.0522;;1.86;9.82;0.006;;3.1;9.855;0.189;;1364.33;10.123;0.1169;;4.59;10.073;0.6696;;175.64;10.109;0.6611;;6.36;10.204;0.0855;;18.04
!;!;Sib 2 blank 24h;30.d;Sample;;6/23/2025 9:58 PM;3.233;10.052;;8985.27;3.228;0.002;;6.36;4.308;5.2239;;6242.44;4.292;0.007;;12.07;4.765;0.0054;;60.54;4.744;3.0711;;2737.33;4.93;2.5311;;5618.09;4.934;0.0043;;2.48;4.987;2.5855;;18621.8;4.983;0.0001;;4.16;5.118;10.2401;;40955.31;5.13;0.001;;47.18;5.33;0.0016;;6.89;5.423;2.4219;;4769.02;5.519;0.0002;;5.17;5.558;0.0001;;52.3;5.648;0.0062;;11.1;5.669;3.3858;;7617.4;5.844;2.4731;;43234.59;5.848;0.001;;0.75;5.963;0.0127;;61.53;5.999;2.4919;;12603.51;6.244;0.0006;;1.13;6.232;1.2662;;14231.64;6.457;0.0015;;4.76;6.553;0.0036;;3.39;6.435;1.6951;;1784.68;6.617;1.2267;;6151.42;6.629;0.0015;;0.91;6.677;1.75;;1991.86;6.645;0.0006;;1.12;6.787;0.0039;;11.89;6.814;2.4727;;389.67;6.857;0.9395;;863.55;6.841;0.0032;;1.31;6.927;0.0327;;27.3;6.995;0.5166;;3853.21;7.094;0.0001;;3.19;7.23;0.001;;4.66;7.334;0.03;;3.15;7.355;0.1275;;398.65;7.617;0.0007;;8.42;7.727;0.02;;3.44;7.893;0.0001;;1.63;8.077;0.0891;;547.17;8.057;0.0028;;0.63;8.486;0.0071;;32.43;8.5;1.7991;;686.28;9.724;2.7954;;4239.59;9.754;0.034;;11.17;9.911;0.0024;;3.11;9.863;0.3477;;63.92;10.082;0.1093;;28.44;10.073;2.0451;;994.95;10.018;0.1151;;2.97;10.204;0.2098;;298.42
!;!;Sib 2 blank 48h;31.d;Sample;;6/23/2025 10:13 PM;3.233;9.9312;;6105.96;3.219;0.0007;;2;4.308;5.2798;;6211.48;4.301;0.0074;;39.85;4.749;0.0106;;48.92;4.744;3.2472;;10746.6;4.93;2.5034;;14678.78;4.934;0.0056;;14.31;4.987;2.6688;;26175.81;4.991;0.0001;;10.47;5.118;10.5193;;10023.02;5.105;0.0006;;36.77;5.041;0.0028;;2.37;5.423;2.4556;;39898.2;5.527;0.0006;;22.37;5.632;0;;6.11;5.664;0.0143;;42.77;5.669;3.2908;;3032.68;5.844;2.389;;9758.09;5.848;0.0005;;0.4;5.996;0.0104;;52.77;5.999;2.4933;;5187.78;6.236;0.0002;;1.23;6.232;1.1807;;13207.47;6.359;0.0033;;89.99;6.348;0.0035;;1.67;6.418;1.6032;;121.22;6.617;1.3063;;8536.42;6.596;0.0002;;0.56;6.685;1.3115;;3052.72;6.711;0.0011;;3.78;6.787;0.0063;;17.08;6.806;2.4262;;2997.43;6.857;0.8234;;1147.33;6.948;0.0214;;17.44;6.894;0.1738;;10.25;6.978;0.4062;;1897.08;7.086;0.0003;;18.45;7.139;0.0004;;8.76;7.334;0.0228;;6.25;7.355;0.154;;631.05;7.459;0.0022;;16.64;7.677;0.0082;;1.35;7.852;0.0001;;2.76;8.061;0.1184;;1231.77;7.989;0.2043;;4.34;8.494;0.0047;;17.27;8.5;1.5738;;560.74;9.724;1.4073;;760.96;9.771;0.0777;;2.58;9.853;0.0202;;2.45;9.855;0.165;;8146.71;10.09;0.1456;;94.6;10.073;0.6994;;585.74;10.067;0.1236;;1.59;10.204;0.0727;;128.75
!;!;Dun d 2 2h;32.d;Sample;;6/23/2025 10:29 PM;3.233;9.9693;;10752.99;3.236;0.0093;;7.57;4.296;5.2225;;6187.66;4.312;0.0113;;20.82;4.906;0.0148;;18.29;4.744;3.2424;;3477.94;4.93;2.4838;;36433.38;4.925;0.0145;;25.51;4.987;2.7216;;6197.4;4.974;0.0096;;326.72;5.118;10.2594;;9608.82;5.105;0.0006;;62.87;5.446;0.0039;;10.34;5.423;2.4402;;30083.35;5.569;0.0002;;4.05;5.599;0.0001;;16.09;5.738;0.0127;;37.38;5.669;3.2506;;3769.8;5.844;2.5951;;3308.28;5.84;0.0037;;3.61;5.996;0.0221;;101.8;5.999;2.4818;;10270.8;6.22;0.0168;;9.91;6.232;1.2762;;812.26;6.466;0.0034;;20.76;6.545;0.0063;;2.79;6.435;1.7527;;1130.05;6.617;1.3477;;649.51;6.604;0.0012;;2.15;6.685;1.8792;;1407.8;6.62;0.007;;33.37;6.82;0.0267;;62.44;6.814;2.4137;;6181.96;6.866;1.01;;1753.22;6.874;0.0496;;37.36;6.984;0.0234;;3.31;6.995;0.5745;;6110.8;7.102;0.0002;;25.09;7.164;0.0009;;4.79;7.318;0.0469;;8.83;7.347;0.158;;1269.75;7.567;0.0007;;10.26;7.76;0.0146;;13.71;7.885;0.0001;;2.78;8.077;0.1302;;553.9;8.131;0.0243;;10.99;8.494;0.0074;;59.95;8.5;2.3975;;10189.48;9.724;1.527;;1007.65;9.796;0.0576;;17.58;9.944;0.0048;;1.9;9.863;0.2539;;1151.65;10.032;0.0363;;1.1;10.073;0.74;;225.67;10.067;0.4194;;11.09;10.204;0.0989;;77.56
!;!;Dun d 2 4h;33.d;Sample;;6/23/2025 10:44 PM;3.233;9.975;;9760.19;3.236;0.0072;;4.88;4.296;5.1977;;21425.94;4.312;0.0075;;18.77;4.749;0.0017;;7.57;4.744;3.0288;;6290.62;4.93;2.4933;;37714.22;4.934;0.0119;;19.65;4.987;2.5906;;32833.76;4.991;0.0131;;7.28;5.118;10.2065;;17684.52;5.13;0.0012;;84.58;5.429;0.0028;;10.54;5.423;2.4605;;20293.08;5.569;0.0005;;7.1;5.583;0.0002;;5.88;5.664;0.0398;;57.3;5.66;3.2752;;2888.32;5.844;2.528;;46157.9;5.848;0.0119;;3.73;5.987;0.0193;;41.71;5.999;2.5113;;9526.09;6.211;0.0087;;20.03;6.232;1.3257;;6577.72;6.375;0.0052;;19.09;6.479;0.0131;;10.16;6.426;1.7025;;133.75;6.617;1.1691;;7579.24;6.604;0.0013;;1.76;6.677;1.8881;;4246.81;6.629;0.0071;;3.09;6.828;0.0374;;99.84;6.814;2.5568;;11009.93;6.857;1.1843;;1691.45;6.85;0.0041;;3.93;7.001;0.0057;;1.81;6.986;0.6125;;2105.39;7.119;0.0003;;89.79;7.271;0.0003;;13.33;7.392;0.0451;;1.05;7.355;0.1589;;1542.98;7.583;0.001;;7.77;7.743;0.0206;;3.68;7.802;0.0002;;14.53;8.085;0.0776;;40.96;8.073;0.174;;2.1;8.494;0.004;;116.54;8.5;2.4347;;913.54;9.724;1.5686;;164.06;9.821;0.2297;;17.22;9.779;0.0019;;2.08;9.855;0.2423;;1321.98;9.982;0.046;;3.13;10.073;0.7228;;128.96;10.15;0.1128;;3.77;10.195;0.0927;;96.61
!;!;Dun d 2 6h;34.d;Sample;;6/23/2025 10:59 PM;3.233;9.9102;;8448.57;3.228;0.0081;;14.11;4.296;5.2716;;6297.54;4.312;0.0082;;12.33;4.74;0.003;;38.86;4.744;3.1237;;6805.77;4.93;2.5053;;79315.69;4.934;0.013;;30.67;4.987;2.6452;;13336.06;4.991;0.0094;;314.09;5.118;10.482;;12047.45;5.138;0.0006;;28.82;5.421;0.0021;;5.39;5.423;2.4824;;5198.08;5.552;0.0001;;1.61;5.607;0.0001;;14.06;5.936;0.0036;;9.81;5.669;3.3144;;8728.61;5.844;2.4669;;17103.12;5.84;0.0096;;2.35;6.013;0.0136;;166.4;5.999;2.5093;;8845.37;6.228;0.0151;;64.09;6.232;1.2595;;4189.69;6.54;0.0009;;4.31;6.381;0.0034;;3.02;6.426;2.0651;;901.1;6.617;1.1604;;4292.18;6.604;0.0115;;5.92;6.685;1.7277;;2645.8;6.752;0.0008;;3.75;6.812;0.0275;;99.35;6.806;2.4083;;7852.85;6.857;1.118;;1856;6.784;0.0144;;22.02;6.984;0.0167;;2.02;7.003;0.5118;;4368.86;7.053;0.0001;;4.94;7.238;0.0023;;17.84;7.482;0.0119;;1.73;7.355;0.139;;1337.09;7.459;0.0013;;7.16;7.776;0.0489;;3.81;7.877;0;;5.32;8.085;0.1069;;2833.71;7.989;0.1036;;2.91;8.486;0.0065;;108.77;8.5;2.4873;;17959.39;9.724;1.3528;;8681.21;9.871;0.0938;;5.1;9.936;0.0056;;2.68;9.855;0.2644;;2593.26;9.866;0.0138;;4.86;10.073;0.5923;;2492.81;10.042;0.1514;;33.99;10.195;0.0844;;163.75
!;!;Dun d 2 8H;35.d;Sample;;6/23/2025 11:15 PM;3.233;9.9761;;6564.02;3.236;0.0078;;5.35;4.296;5.3613;;30806.92;4.312;0.008;;20.3;4.716;0.0012;;10.07;4.744;3.0934;;3604.02;4.93;2.5512;;5482.72;4.925;0.0123;;37.53;4.987;2.6055;;20378.64;4.983;0.007;;146.53;5.118;10.5792;;19227.19;5.122;0.0007;;72.09;5.412;0.0038;;5.05;5.415;2.4848;;6540.8;5.593;0.0001;;4.25;5.533;0.0001;;5.31;5.648;0.0099;;26.05;5.669;3.2892;;13182.8;5.844;2.5695;;3210.05;5.848;0.0232;;6.44;5.987;0.01;;92.76;5.999;2.5313;;10468.84;6.236;0.0124;;4.43;6.232;1.2761;;797.27;6.408;0.0009;;2.22;6.315;0.0343;;16.85;6.426;1.7206;;1184.39;6.609;1.2475;;8723.65;6.58;0.0048;;6.88;6.677;1.8425;;2503.35;6.768;0.0012;;1.93;6.795;0.0189;;22.33;6.806;2.5816;;3289.8;6.857;1.2422;;128.2;6.956;0.0124;;10.39;7.009;0.0052;;2.94;6.986;0.6183;;4072.2;7.102;0.0001;;5.13;7.148;0.0007;;2.63;7.343;0.0472;;5.2;7.364;0.1794;;1398.14;7.609;0.0002;;11.15;7.61;0.0296;;17.49;7.695;0;;1.21;8.077;0.122;;504.09;8.04;0.0208;;1.18;8.503;0.007;;35.55;8.5;2.558;;5760.18;9.724;1.6497;;1755.7;9.68;0.1588;;31.31;9.878;0.0046;;4.61;9.855;0.3034;;54.55;10.04;0.0543;;1.94;10.073;0.8324;;896.74;10.092;0.3129;;9.49;10.195;0.0949;;210.1
!;!;Dun d 2 24h;36.d;Sample;;6/23/2025 11:30 PM;3.233;10.0085;;5578.65;3.236;0.007;;11.06;4.308;5.1642;;6413.93;4.32;0.009;;17.11;4.716;0.0054;;14.26;4.744;2.9694;;27705.42;4.93;2.4462;;89116.2;4.934;0.0107;;18.87;4.987;2.463;;34495.06;4.999;0.0078;;105.6;5.126;10.2569;;10366.3;5.105;0.0007;;46.95;5.421;0.0034;;2.91;5.423;2.3995;;10166.58;5.56;0.0006;;7.73;5.591;0;;2.74;5.672;0.0093;;21.47;5.669;3.255;;4846.76;5.844;2.5649;;41237.58;5.848;0.0107;;4;5.987;0.0205;;54.75;5.999;2.457;;25161.46;6.22;0.0175;;27.87;6.232;1.2167;;1886.96;6.342;0.0038;;22.55;6.553;0.0198;;8.93;6.435;1.5469;;1043.26;6.617;1.3943;;4316.67;6.612;0.0178;;9.99;6.677;1.5764;;1881.15;6.629;0.0077;;27.41;6.812;0.0334;;49.07;6.814;2.3591;;6090.96;6.857;0.9929;;2312.27;7.005;0.042;;28.52;6.828;0.0219;;2.33;6.995;0.6095;;2283.39;7.037;0.0001;;5.73;7.205;0.0012;;4.9;7.269;0.0643;;4.18;7.364;0.1993;;1763.26;7.575;0.001;;6.46;7.66;0.0207;;4.32;7.819;0;;1.88;8.085;0.133;;850.93;8.09;0.0318;;6.29;8.503;0.0079;;79.84;8.5;2.422;;24229.66;9.724;1.4175;;4925.32;9.763;0.2091;;31.85;9.795;0.0019;;2.75;9.863;0.2636;;1635.46;10.082;0.0212;;1.56;10.073;0.6641;;462.89;10.001;0.088;;2.65;10.195;0.0911;;84.73
!;!;Dun d 2 72h;37.d;Sample;;6/23/2025 11:45 PM;3.233;10.0669;;6957.23;3.236;0.0068;;7.56;4.296;5.2094;;20091.7;4.312;0.0097;;32.2;4.856;0.0038;;42.65;4.744;3.1793;;4397.63;4.93;2.4757;;30316.85;4.925;0.0133;;28.42;4.987;2.6718;;15588.89;4.974;0.012;;51.9;5.118;10.2981;;34237.67;5.13;0.0006;;13.38;5.437;0.0037;;5.82;5.423;2.4206;;14011.83;5.552;0.0002;;4.4;5.549;0;;5.37;5.681;0.0009;;2.11;5.669;3.3712;;437.87;5.844;2.4504;;41293.39;5.84;0.0264;;4.82;6.004;0.0165;;66.7;5.999;2.4813;;8316.55;6.228;0.0436;;39.3;6.232;1.2341;;2562.86;6.416;0.0016;;8.36;6.446;0.0228;;6;6.426;1.9622;;2571.32;6.617;1.2786;;4609.46;6.58;0.0189;;6.18;6.685;1.7273;;245.68;6.826;0.0018;;2.39;6.828;0.0425;;30.3;6.814;2.459;;3494.85;6.857;1.0426;;3622.34;6.882;0.033;;20.92;7.033;0.0141;;22.62;6.986;0.6033;;4807.6;7.135;0.0001;;2.24;7.213;0.0007;;12.85;7.376;0.0057;;2.41;7.372;0.1653;;318.37;7.6;0.0008;;7.2;7.834;0.0811;;1.56;7.902;0;;8.8;8.069;0.0767;;714.99;8.098;0.052;;2.23;8.503;0.0085;;52.84;8.5;2.489;;978.84;9.724;1.3833;;2873.17;9.763;0.1263;;8.65;9.878;0.0036;;42.38;9.855;0.2803;;776.56;10.115;0.0622;;6.85;10.073;0.74;;871.11;10.034;0.6298;;76.85;10.195;0.1249;;164.52
;!;QC std;38.d;Sample;;6/24/2025 12:00 AM;3.208;9.9984;;12201.55;3.211;9.1282;;3298.17;4.296;5.2835;;7224.81;4.301;4.9948;;16018.56;4.74;11.189;;18502.05;4.744;3.6296;;1082.04;4.93;2.5284;;6453.72;4.934;2.2577;;3041.47;4.987;2.615;;25563.47;4.983;2.2937;;13804.77;5.118;10.2771;;20202.33;5.122;2.2595;;8954.19;5.421;2.5536;;971.04;5.415;2.4754;;89759.32;5.536;2.3133;;12583.41;5.583;2.219;;25649.04;5.664;10.5546;;21729.93;5.669;3.9389;;7785.02;5.844;2.5714;;3907.68;5.84;2.326;;2680.51;5.996;2.3195;;26976.31;5.991;2.5009;;13249.24;6.236;2.3494;;391.82;6.232;1.227;;10450.33;6.416;2.644;;21482.73;6.43;20.4127;;15115.12;6.435;4.0516;;3913.93;6.617;1.2626;;10418.66;6.621;2.2744;;544.61;6.677;5.2852;;15195.98;6.686;1.0404;;6799.57;6.812;2.119;;1838.57;6.814;2.6772;;5929.64;6.857;4.9046;;12784.93;6.866;2.2323;;327.96;6.992;4.9012;;9492.38;6.995;1.2576;;11447.33;7.102;2.3106;;4318.68;7.197;2.1448;;1072.91;7.359;2.3587;;934.03;7.364;1.2192;;9638.46;7.567;2.1579;;7106.35;7.727;2.1856;;2022.58;7.852;0.5504;;18360.3;8.085;1.2435;;4112.99;8.082;2.1885;;1093.59;8.503;2.5221;;911.93;8.5;2.4995;;8469.93;9.724;23.6786;;15587.92;9.746;67.0439;;3137.4;9.861;2.2775;;40637.26;9.855;2.3212;;704.46;10.048;2.2226;;3827.14;10.073;21.9276;;65451.67;10.1;67.1509;;5109.92;10.204;2.3141;;6373.82
